"ndc9","dose_form_rxcui"
"370000976","7067"
"712050197","317541"
"420230131","316949"
"118221055","316945"
"551110137","316965"
"636298232","316943"
"000074896","317541"
"000050100","721656"
"504190253","317541"
"597790458","317541"
"645430340","317541"
"680160599","316965"
"512850038","317541"
"712050909","317541"
"522680011","316968"
"001350094","316969"
"529590276","91344"
"002241852","1540456"
"698420315","126542"
"678770626","317541"
"492810915","1649574"
"495800499","316968"
"686052010","316983"
"637360012","316969"
"679960457","346285"
"500904514","7670"
"781120694","346163"
"301420572","316968"
"003381146","316949"
"584060446","1649570"
"372050819","316965"
"677770139","106332"
"505800457","317541"
"667156860","126542"
"493480167","317541"
"644060013","721656"
"504580609","721656"
"005013401","316982"
"711040486","1649574"
"751370857","346165"
"680160448","7670"
"655970104","317541"
"001850722","317541"
"712960012","316986"
"525840903","721656"
"588640614","316995"
"001350528","10652"
"368000568","316965"
"636298746","317541"
"663120110","316956"
"117630526","91058"
"718810103","346289"
"128430393","316969"
"705150610","1540454"
"000095137","1649574"
"683820748","316943"
"748710051","346286"
"553010337","316968"
"529213056","346288"
"557000489","316945"
"638680201","317005"
"000492040","316945"
"698420640","317541"
"625590111","317678"
"004563421","316943"
"754480028","346286"
"813140302","797271"
"651620703","316984"
"718727042","316949"
"000850962","316983"
"529590743","316985"
"561841204","316969"
"412500658","316945"
"643360170","126542"
"000780946","7670"
"492810252","1649574"
"515520002","316985"
"510130181","316965"
"696760039","316968"
"662670363","317541"
"560620974","316968"
"647640155","317541"
"551548337","316949"
"544730308","317541"
"378080855","7067"
"001137189","316968"
"231550796","316965"
"000537634","1649574"
"003788043","316969"
"761250673","1649574"
"504580563","721656"
"002681407","316949"
"555050173","316968"
"802670486","316965"
"103400004","316982"
"620110070","317541"
"000780544","317541"
"655850585","346285"
"682104166","317541"
"508040468","316965"
"370000526","316965"
"559100737","316968"
"411670291","316969"
"739310017","346286"
"500904467","316969"
"619190140","316956"
"585520130","316968"
"001260070","10652"
"698650260","316945"
"378350902","316985"
"753530003","797271"
"683080685","346285"
"638680719","317541"
"607930702","721656"
"000494910","317541"
"378080319","316982"
"708010001","1649574"
"678770616","317541"
"343620302","11108"
"619582901","1649574"
"000938076","317541"
"003620557","1649572"
"500901340","316945"
"646930002","316999"
"771750005","316986"
"700000558","1792831"
"712050381","317541"
"000742306","316945"
"730280201","317541"
"412500236","316965"
"499990947","316965"
"006031078","316968"
"378080112","317541"
"633040110","316945"
"428470311","1739329"
"000074883","316945"
"174780830","316963"
"696600202","317541"
"007130166","316978"
"605054058","316945"
"559100994","316965"
"649800177","317541"
"636294068","317541"
"739050013","346286"
"693670243","316978"
"713350115","317541"
"715690602","1540453"
"666580231","1649574"
"541620221","316985"
"415200011","316992"
"520830665","316968"
"620110085","316962"
"134110144","317541"
"505800726","317541"
"500905747","721656"
"301420514","316969"
"461220192","317541"
"699110486","1649574"
"754730001","346165"
"686340057","316983"
"661050977","317541"
"717700105","317541"
"661050478","317541"
"110840155","346285"
"690360130","316968"
"301420724","316945"
"294858048","91058"
"500905574","317541"
"625690001","316986"
"003786114","317541"
"633540989","797271"
"000030830","316965"
"412500109","91058"
"005559020","317541"
"009046492","7670"
"000055511","317541"
"636291330","316945"
"588090750","316968"
"516621488","1649574"
"638240958","316968"
"645970301","316965"
"383960923","316968"
"647273300","317541"
"584060044","1649572"
"630290910","91058"
"540239961","316969"
"525440295","317541"
"559100309","316968"
"001730892","721656"
"000780351","317541"
"636294185","10312"
"555130023","721656"
"681630710","316968"
"477810265","317541"
"551500301","316949"
"500902313","316949"
"559100599","316965"
"680840310","316945"
"000690486","317541"
"510130199","316965"
"006991081","316956"
"596760302","1649574"
"488783120","10652"
"000060080","316945"
"147890330","1649574"
"775830101","346286"
"301420973","316982"
"001350513","316992"
"591480087","317541"
"009442946","1649574"
"005970127","317541"
"661050563","317541"
"721400019","316985"
"500903459","721654"
"518240003","316985"
"655970601","317541"
"198100029","317541"
"713340215","317541"
"003100280","316945"
